ID_author;liwc_1st_pers;liwc_2nd_pers;liwc_3rd_pers;liwc_achievement;liwc_adverbs;liwc_affective_processes;liwc_anger;liwc_anxiety;liwc_articles_article;liwc_assent;liwc_auxiliary_verbs;liwc_biological;liwc_body;liwc_causation;liwc_certainty;liwc_cognitive;liwc_common_verbs;liwc_conjunctions;liwc_death;liwc_discrepancy;liwc_exclusive;liwc_family;liwc_feel;liwc_fillers;liwc_friends;liwc_future_tense;liwc_health;liwc_hear;liwc_home;liwc_humans;liwc_impersonal_pronouns;liwc_inclusive;liwc_ingestion;liwc_inhibition;liwc_insight;liwc_leisure;liwc_money;liwc_motion;liwc_negations;liwc_negative_emotion;liwc_nonfluencies;liwc_numbers;liwc_past_tense;liwc_perceptual_processes;liwc_personal_pronouns;liwc_positive_emotion;liwc_prepositions;liwc_present_tense;liwc_quantifiers;liwc_relativity;liwc_religion;liwc_sadness;liwc_see;liwc_sexual;liwc_social_processes;liwc_space;liwc_swear_words;liwc_tentative;liwc_time;liwc_total_functional;liwc_total_pronouns;liwc_work
534;0;0;0;2;10;8;0;0;12;0;15;3;0;5;1;29;32;15;0;1;7;0;3;2;0;0;3;1;0;0;9;8;0;0;6;0;0;5;5;0;0;2;11;5;12;6;24;21;3;30;0;0;1;0;1;9;0;3;18;98;21;0
534;0;0;0;0;1;0;0;0;3;0;6;0;0;0;0;3;6;3;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;3;1;2;0;4;3;1;6;0;0;0;0;1;2;0;0;3;23;4;0
580;1;3;8;6;32;36;5;10;13;1;43;16;6;7;2;108;121;56;3;15;21;3;8;5;1;6;9;3;3;2;19;34;0;8;20;0;1;7;18;23;2;5;30;14;82;13;55;82;6;74;0;2;3;1;52;30;2;13;41;302;101;5
580;0;0;0;2;4;11;4;2;7;1;11;3;0;1;0;15;16;7;0;2;5;0;0;1;0;1;2;0;0;0;8;4;0;1;1;1;0;1;3;8;0;0;3;0;8;3;16;12;1;17;0;0;0;1;4;4;2;2;11;61;16;3
590;0;0;0;0;6;5;0;0;5;0;9;3;0;0;1;15;17;6;1;5;2;4;1;1;0;1;3;0;0;0;4;5;0;0;2;0;0;0;2;2;2;0;3;2;13;3;11;12;0;10;0;1;1;0;8;4;0;2;7;52;17;1
590;0;0;1;1;3;2;0;0;3;0;10;2;0;0;0;12;15;6;0;4;6;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;3;1;0;0;1;1;10;0;12;10;2;13;0;1;1;2;2;2;0;5;9;49;12;0
597;1;4;0;0;1;3;0;0;6;0;12;0;0;1;2;23;23;5;3;4;4;0;0;0;0;4;0;0;0;2;11;3;0;1;9;0;0;1;2;0;0;0;4;0;11;3;15;12;4;7;0;0;0;0;12;4;0;5;1;64;22;2
597;3;0;0;5;10;10;0;0;15;1;27;1;0;6;6;43;46;17;0;1;7;0;0;1;0;5;1;0;0;0;14;11;0;1;6;2;1;4;5;1;0;3;5;1;24;8;38;34;9;40;0;0;1;0;10;13;0;7;22;155;38;4
602;0;0;0;1;8;2;1;1;8;0;15;5;0;2;0;28;24;14;0;9;12;0;0;0;0;3;5;0;0;0;4;3;1;2;5;1;0;1;4;2;0;1;5;0;15;0;14;14;2;19;0;0;0;0;3;6;0;11;9;79;19;0
602;1;0;0;0;11;5;0;2;1;0;7;1;0;1;0;19;12;11;0;2;7;0;0;0;0;0;1;0;0;0;4;4;0;0;4;2;0;2;2;3;0;0;0;2;9;2;5;10;0;3;0;0;2;0;2;1;0;5;2;45;13;0
660;0;0;0;4;9;7;2;0;7;1;10;7;1;0;0;21;22;13;0;1;6;0;4;0;0;1;2;0;0;0;7;11;5;1;2;1;0;3;4;6;0;1;4;5;20;1;24;15;1;29;0;2;1;0;2;14;0;0;12;91;27;2
660;0;0;0;1;0;1;0;0;3;0;1;3;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;1;1;0;3;2;0;3;0;1;0;0;1;1;0;0;2;9;2;0
692;2;0;5;0;8;15;0;0;5;0;6;8;0;0;1;24;17;14;1;1;3;0;2;5;0;0;8;1;0;0;6;11;0;2;6;0;0;0;0;4;0;2;3;5;11;11;14;14;2;11;0;3;2;0;10;5;0;1;10;66;17;2
692;1;0;0;3;6;19;0;1;6;1;14;4;0;4;1;23;25;10;0;1;3;0;1;0;0;0;4;2;0;0;5;10;0;1;2;0;1;1;3;9;0;0;5;3;17;9;19;15;3;14;0;7;0;0;8;3;0;1;10;76;22;2
702;0;1;3;1;8;7;0;2;10;0;30;8;5;0;3;38;44;16;0;2;9;0;2;0;0;1;3;1;0;0;12;11;0;0;10;2;0;4;7;6;0;0;7;4;29;1;21;35;7;38;0;1;1;0;5;11;0;5;22;131;41;0
702;0;1;0;1;1;6;0;1;2;0;3;0;0;1;0;8;7;3;0;0;1;0;0;1;0;0;0;0;0;0;4;1;0;1;3;1;0;0;0;2;0;0;2;0;4;4;8;5;1;4;1;0;0;0;1;3;0;2;2;25;8;1
717;0;1;0;0;2;1;0;0;5;0;4;0;0;2;0;10;8;5;0;0;2;0;1;0;0;0;0;0;0;1;1;4;0;0;1;4;0;5;1;0;0;1;2;2;6;1;18;5;3;14;0;0;1;0;6;5;0;0;3;44;7;0
717;1;4;0;0;3;5;0;0;2;0;13;12;9;1;4;18;20;7;0;1;4;1;0;0;0;1;3;1;0;0;5;4;0;1;3;0;0;0;1;2;0;0;3;2;15;3;14;15;3;14;0;1;1;0;8;8;0;4;6;61;20;2
737;1;0;1;6;5;13;3;1;12;0;17;3;0;2;5;24;30;8;3;1;2;0;1;0;1;0;2;0;0;2;13;9;0;0;2;1;0;2;6;5;0;4;17;3;22;8;25;12;8;34;0;1;2;1;9;14;0;4;18;114;35;5
737;0;0;0;1;6;6;1;0;7;2;9;5;1;0;1;19;21;4;0;5;4;0;4;1;0;0;0;1;0;1;5;5;4;1;4;1;0;3;5;3;0;0;1;5;12;3;12;16;4;17;0;1;0;0;4;6;1;4;9;60;17;0
759;0;0;0;1;3;2;0;0;8;0;9;3;0;1;1;11;14;6;0;2;3;0;0;0;0;0;3;1;0;0;5;3;0;0;3;0;1;2;1;0;1;0;3;1;8;2;17;10;4;10;0;0;0;0;6;6;0;3;2;58;13;3
759;0;0;0;2;6;1;0;1;6;0;11;2;0;1;0;15;18;6;0;3;3;0;1;0;0;1;1;0;0;0;5;5;1;1;4;0;0;1;0;1;0;0;5;1;7;0;10;10;2;13;0;0;0;0;0;3;0;2;9;52;12;0
825;0;0;2;0;1;4;0;2;3;0;6;1;1;0;1;17;14;6;0;0;3;0;1;0;0;0;0;0;0;0;6;7;0;0;4;0;0;1;5;2;0;0;1;2;11;2;8;13;0;9;0;2;0;0;2;7;0;0;1;43;17;0
825;0;1;0;0;2;3;1;0;2;0;6;0;0;1;0;6;10;3;0;1;0;0;0;1;0;0;0;0;0;0;3;2;0;0;1;0;0;4;2;2;0;0;1;0;4;1;3;7;0;10;0;0;0;0;1;2;0;1;5;22;7;0
855;2;1;6;4;7;11;3;3;11;0;11;2;1;2;4;40;26;13;0;3;8;0;0;0;1;0;0;1;0;0;11;14;0;3;7;0;3;2;3;7;0;1;7;3;20;4;28;18;7;24;0;0;2;1;12;12;3;6;8;106;31;2
855;0;3;0;0;4;1;0;0;5;0;8;4;0;0;0;13;12;8;0;3;5;0;1;1;0;0;4;0;0;0;2;3;0;0;3;0;0;0;1;0;0;1;6;2;7;1;13;6;5;12;0;0;0;0;3;5;0;4;7;51;9;0
864;0;0;0;3;7;10;2;1;6;1;11;7;2;1;2;21;22;17;1;2;2;0;0;0;0;0;5;0;0;0;4;11;0;0;3;0;0;3;4;6;0;0;4;1;18;4;26;17;4;20;0;2;1;0;2;12;0;3;5;87;22;3
864;0;0;1;2;7;3;1;1;6;0;4;2;0;2;1;22;12;11;0;1;4;0;0;0;0;0;2;0;0;0;2;8;1;1;4;1;0;2;2;3;0;2;2;1;10;0;14;10;4;20;0;1;1;0;1;10;0;4;8;57;12;3
891;0;0;3;2;21;20;4;3;26;2;26;10;2;5;2;73;56;29;0;9;23;0;2;3;0;0;8;1;0;2;21;14;0;2;12;0;0;1;6;10;0;0;12;3;36;6;38;41;16;46;0;1;0;0;17;17;1;23;31;203;57;1
891;0;1;1;2;19;14;1;2;8;1;24;4;2;3;1;31;44;15;1;5;2;0;0;1;0;3;2;2;0;1;11;11;0;2;3;1;1;6;6;6;2;1;12;4;25;6;32;29;10;36;0;0;2;0;11;16;0;6;15;141;36;3
894;2;6;0;2;21;12;0;2;14;1;28;6;0;5;0;46;42;24;0;3;5;0;4;4;0;2;0;2;0;0;14;14;0;1;13;0;1;8;4;3;0;0;6;7;30;9;34;31;11;46;0;1;1;6;11;26;0;8;15;164;44;1
894;0;5;1;1;3;4;0;0;2;0;8;3;0;1;0;14;14;7;0;2;7;0;0;0;0;0;3;1;0;0;4;2;0;1;2;0;0;0;3;1;0;0;2;2;9;3;9;11;2;1;0;1;1;0;10;1;0;5;0;43;13;3
897;0;0;1;6;10;13;0;0;22;0;24;3;0;2;2;46;40;19;0;8;8;1;3;1;0;3;0;0;1;0;18;15;0;2;6;10;0;4;6;1;0;1;16;5;31;11;41;17;8;42;0;1;2;3;15;19;1;3;19;169;49;10
897;0;1;0;3;13;12;2;1;14;0;14;5;0;4;2;31;31;19;0;1;8;0;5;2;0;0;5;2;0;0;13;10;0;1;5;3;0;1;3;4;0;1;11;14;17;8;20;19;1;18;0;0;7;0;12;9;0;6;8;106;30;3
905;0;1;0;3;5;7;0;2;4;0;13;0;0;1;2;21;25;8;0;0;4;0;1;0;1;0;0;0;0;0;6;9;0;1;4;0;0;5;5;3;0;0;6;4;16;3;15;18;3;19;0;0;3;0;4;7;0;1;7;68;22;4
905;0;3;0;0;5;3;0;0;4;0;7;0;0;2;0;15;16;4;0;2;2;0;0;1;0;1;0;0;0;0;3;1;0;0;7;0;0;2;1;0;0;0;3;0;8;3;6;10;2;5;0;0;0;0;6;2;0;3;2;35;11;1
911;0;4;0;0;3;5;0;0;3;0;5;0;0;0;0;10;7;4;0;1;5;0;0;0;0;0;0;0;0;0;3;3;0;0;1;0;0;0;2;3;0;1;0;0;5;0;8;6;1;11;0;3;0;0;5;3;0;1;6;35;8;0
911;0;0;1;0;3;8;0;0;5;0;5;3;0;0;0;5;8;1;0;2;2;0;0;0;0;1;1;0;0;0;4;0;0;0;1;3;1;0;2;1;0;2;0;0;3;7;7;7;2;1;0;0;0;2;5;1;0;0;0;30;7;0
941;0;0;0;1;3;3;0;0;0;0;4;1;0;0;0;9;9;6;0;2;6;0;0;0;0;0;1;1;0;1;3;1;0;0;1;0;0;0;0;0;0;0;4;2;4;3;4;5;0;4;0;0;1;0;3;2;0;4;0;23;7;0
941;0;0;0;0;2;2;0;0;6;0;2;1;0;0;0;4;8;3;0;0;0;0;1;0;0;0;0;0;0;0;3;3;1;0;1;0;0;4;0;0;0;0;2;1;2;2;8;5;0;17;0;0;0;0;1;6;0;0;6;25;5;4
987;0;5;0;1;10;6;0;1;9;0;16;2;1;4;3;26;32;16;1;1;6;0;2;1;0;1;1;0;0;1;9;5;0;1;7;0;0;3;1;3;0;0;9;3;15;3;17;20;3;20;0;2;1;0;10;4;0;4;14;85;24;3
987;0;1;0;3;7;6;0;0;10;0;13;4;2;3;2;28;26;10;0;3;3;1;3;0;0;0;1;0;0;0;7;11;0;0;6;0;0;3;1;4;0;0;5;4;16;2;27;19;3;22;0;3;1;1;7;8;0;1;11;89;23;2
1004;0;0;1;1;12;16;3;0;16;0;18;3;2;5;0;35;38;20;0;7;11;0;1;1;0;1;1;0;0;0;10;8;0;1;3;1;1;5;7;12;2;0;1;3;15;4;15;32;2;24;0;8;1;0;6;4;1;4;15;104;25;0
1004;0;0;0;0;6;6;0;0;5;0;5;6;3;0;1;10;18;4;0;3;4;0;1;0;0;1;3;0;0;0;6;1;0;0;1;0;0;4;3;3;0;0;2;1;10;1;15;15;3;20;0;3;0;0;0;8;0;4;8;55;16;0
1067;2;0;1;5;5;11;1;0;17;0;26;7;2;3;4;49;45;16;0;5;11;0;2;1;0;1;4;1;0;0;10;15;1;1;7;1;2;2;4;3;0;0;17;3;22;8;32;24;10;33;1;2;0;1;9;16;1;6;16;136;32;3
1067;0;0;0;0;6;11;4;4;5;0;11;6;4;0;2;20;24;11;2;3;4;0;0;0;0;2;1;1;0;0;5;8;0;0;2;0;1;0;3;10;0;2;0;1;12;1;15;21;3;10;0;1;0;1;2;5;1;4;5;69;17;2
1071;0;0;0;3;15;21;4;2;28;0;37;9;2;3;3;65;69;24;1;8;16;1;3;2;3;1;5;1;0;1;16;16;1;1;15;1;2;9;18;9;0;4;28;5;49;11;47;39;14;46;0;2;1;1;13;15;3;11;21;227;65;2
1071;0;0;0;0;6;5;1;0;6;0;16;4;2;2;3;24;31;8;3;2;7;1;1;1;0;4;2;1;0;0;8;2;0;2;4;0;1;3;5;1;0;0;5;5;21;4;17;21;4;17;0;0;3;0;11;5;0;4;10;85;29;2
1073;0;5;7;10;46;40;14;2;42;0;73;26;10;9;3;120;149;59;0;15;33;3;7;4;1;3;8;3;2;4;35;34;5;3;17;3;0;7;22;24;0;6;33;13;107;16;97;103;11;88;0;2;2;6;62;42;11;7;41;462;142;16
1073;0;2;1;0;19;13;1;5;19;0;25;14;7;5;3;33;46;22;0;3;5;0;2;4;0;1;1;2;1;1;16;9;5;1;2;3;0;3;2;7;0;4;15;6;29;6;41;24;6;40;0;0;0;1;16;15;1;6;24;166;45;1
1132;0;0;0;2;8;10;1;1;12;2;22;6;2;1;2;43;33;23;1;2;7;0;1;1;0;1;4;0;0;0;15;16;0;1;9;0;0;2;3;8;2;2;16;1;16;2;22;15;6;44;0;4;0;0;3;13;1;10;28;122;31;0
1132;0;0;0;1;6;7;1;1;9;0;13;2;1;2;2;31;28;12;0;6;6;0;1;0;0;2;0;0;0;0;10;8;0;2;5;0;0;3;3;4;0;0;4;1;8;3;19;20;7;23;0;1;0;1;0;8;1;2;12;82;18;1
