ID_author;automated_readability_index;coleman_liau_index;flesch_kincaid_grade_level;flesch_reading_ease;gulpease_index;gunning_fog_index;lix;smog_index;wiener_sachtextformel
2;6,9867E+15;7,26E+15;7,41E+15;7,24E+15;6,44E+15;1,08E+15;3,43E+16;1,06E+16;3,61E+16
3;5,41261E+15;7,96E+14;7,36E+15;6,27E+15;7,03E+15;1,33E+16;4,63E+15;1,22E+16;7,63E+15
4;3,14839E+16;4,03E+15;4,83E+15;8,54E+15;7,31E+15;8,46E+15;3,01E+15;8,84E+15;2,30E+16
5;8,08197E+15;7,33E+15;8,14E+15;7,15E+15;6,24E+16;1,14E+16;3,78E+14;1,07E+16;4,03E+15
6;5,83302E+15;7,84E+15;6,66E+15;7,05E+14;6,80E+15;1,02E+16;3,31E+15;1,04E+16;3,84E+16
7;1,2438E+16;3,42E+16;3,79E+15;8,50E+15;8,22E+15;6,45E+15;2,39E+16;7,65E+16;1,30E+16
8;4,98448E+15;6,53E+15;5,50E+15;7,98E+15;6,94E+15;8,37E+15;2,98E+15;8,84E+15;2,47E+16
9;5,24507E+15;6,38E+15;6,12E+15;7,71E+15;6,84E+15;1,01E+16;3,17E+16;1,03E+15;3,36E+14
10;4,6588E+15;5,43E+15;5,29E+15;8,39E+15;6,95E+15;7,87E+15;2,97E+16;7,91E+15;1,89E+16
11;4,49834E+16;6,31E+16;5,74E+15;7,65E+15;7,11E+15;8,96E+15;2,60E+16;9,47E+15;2,42E+16
12;4,26816E+16;5,34E+16;5,74E+15;7,92E+15;7,06E+15;9,17E+15;2,93E+16;9,49E+14;2,59E+15
13;5,75571E+15;7,29E+15;5,67E+15;7,93E+15;6,76E+15;8,46E+15;3,19E+16;8,84E+15;2,65E+16
14;6,6612E+15;6,17E+15;7,75E+15;7,23E+15;6,52E+15;1,21E+16;3,36E+15;1,16E+16;3,93E+16
15;3,32737E+16;5,15E+14;4,51E+14;8,41E+15;7,42E+15;7,78E+15;2,47E+16;8,53E+15;1,58E+16
16;1,36617E+16;4,00E+16;2,61E+16;9,02E+13;8,74E+15;5,40E+15;2,06E+15;6,94E+15;5,83E+14
17;8,80645E+15;1,04E+16;8,16E+15;6,42E+15;6,06E+15;1,20E+16;4,45E+16;1,17E+16;6,02E+16
18;5,41261E+15;7,96E+14;6,08E+14;7,19E+15;7,03E+15;9,82E+15;3,54E+16;1,01E+16;4,40E+15
19;5,19924E+15;7,12E+15;5,29E+16;8,00E+15;6,94E+15;8,25E+15;2,84E+15;8,84E+15;2,36E+16
20;1,18816E+16;3,13E+15;4,24E+16;8,30E+15;8,10E+15;7,23E+15;2,49E+16;8,24E+15;1,64E+15
21;4,77279E+15;7,19E+15;5,39E+15;7,68E+15;7175;8,57E+15;2,89E+15;9,24E+14;2,71E+16
22;1,32006E+16;1,53E+16;1,14E+16;4,32E+15;5,12E+16;1,34E+16;5,15E+15;1,27E+16;8,08E+15
23;1,42837E+16;3,65E+16;2,97E+16;9,09E+15;8,18E+15;6,50E+15;2,19E+16;7,69E+15;9,21E+15
24;1,79441E+16;2,94E+15;3,11E+15;9,54E+15;7,68E+15;6,34E+14;2,21E+16;6,74E+15;2,25E+15
25;1,86172E+16;4,36E+15;3,77E+15;8,41E+14;8,23E+15;6,83E+14;2,11E+16;8,00E+14;1,23E+16
26;4,3221E+15;6,15E+15;5,66E+16;7,69E+15;7,15E+14;9,08E+15;2,90E+16;9,57E+15;2,83E+14
27;1,83883E+16;4,22E+16;2,84E+15;9,15E+15;8,14E+15;7,10E+15;2,23E+16;8,19E+15;1,23E+16
28;6,82239E+15;1,05E+16;8,01E+15;5,40E+15;7,14E+14;1,15E+15;3,96E+15;1,08E+16;6,33E+15
29;7,81823E+15;1,21E+16;6,85E+15;5,98E+15;7,38E+15;8,26E+15;4,32E+16;8,84E+15;5,62E+15
