ID_author;economic_stress_total;isolation_total;substance_use_total;guns_total;domestic_stress_total;suicidality_total;punctuation
593;2;0;1;0;4;2;640
594;3;0;0;0;0;0;640
595;1;0;0;0;0;0;120
596;5;0;0;0;2;0;240
599;2;0;1;0;0;0;570
600;1;0;0;0;1;0;250
601;2;0;0;0;0;0;680
604;1;0;1;0;0;2;620
605;0;0;0;0;0;1;300
606;3;0;1;0;0;0;500
607;1;0;0;0;4;0;130
608;0;0;0;0;0;0;140
609;0;0;0;0;0;0;190
610;0;0;0;0;0;0;60
611;0;0;0;0;0;0;130
612;1;0;0;0;0;0;250
613;3;0;0;0;0;0;950
614;5;0;1;0;0;1;1050
615;0;0;2;0;0;0;50
616;2;0;1;0;1;0;440
617;2;0;0;0;0;0;230
618;0;1;0;0;0;0;170
619;0;0;0;0;0;0;80
620;0;0;0;0;0;0;60
621;1;0;2;0;0;0;280
622;0;0;0;0;0;0;100
623;1;0;0;0;0;0;410
624;2;0;1;0;0;0;440
625;0;1;0;0;0;0;150
626;4;0;0;0;0;0;680
627;1;0;0;0;0;0;280
628;0;0;2;0;0;0;80
629;2;1;0;1;0;0;190
630;0;0;0;0;0;0;90
631;2;0;0;1;0;0;370
632;0;0;0;0;0;0;20
633;0;0;0;0;0;1;600
634;0;0;0;0;0;0;110
635;0;1;0;0;0;0;550
636;0;0;3;0;0;0;510
637;0;0;1;0;1;0;240
638;2;0;0;0;1;3;300
639;1;0;0;0;0;0;100
640;0;0;0;0;0;0;110
641;0;0;0;0;0;0;30
642;1;0;0;0;0;0;70
643;0;0;0;0;0;1;60
644;0;0;0;0;0;0;90
645;2;2;1;0;0;0;670
646;0;0;1;0;0;0;120
647;2;0;3;0;1;0;870
648;0;0;0;0;0;0;90
649;0;0;0;0;0;0;200
650;0;0;0;0;0;0;90
651;0;0;5;0;0;0;110
652;1;0;4;0;1;0;220
653;0;0;1;0;0;0;60
654;1;0;0;0;0;1;50
655;0;0;1;0;0;0;270
656;0;0;0;0;0;0;70
657;0;0;0;0;0;0;160
658;1;0;0;0;0;1;310
659;0;0;0;0;0;0;10
662;1;0;1;0;0;0;220
663;0;0;0;0;0;0;140
664;6;0;4;0;0;3;660
665;2;0;0;0;0;0;60
666;0;0;0;0;0;0;80
667;7;1;1;0;0;1;400
668;1;0;0;0;1;0;330
669;0;0;0;0;0;0;210
670;0;0;0;0;0;0;220
671;0;0;1;0;0;1;190
672;2;0;0;0;0;0;200
673;0;0;0;0;0;0;180
674;4;0;1;0;1;2;510
675;1;0;0;0;0;4;380
676;0;0;0;0;0;0;50
677;0;0;0;0;0;0;80
678;0;0;0;0;0;1;140
679;0;0;1;0;0;0;240
680;0;0;0;0;0;0;110
681;3;1;1;0;0;0;1250
682;1;0;1;0;0;0;230
683;0;0;2;0;0;0;120
684;1;0;0;0;0;0;390
685;1;0;0;0;3;0;160
686;0;1;1;0;0;1;450
687;0;0;0;0;0;0;90
688;0;0;0;0;0;0;130
689;1;0;1;0;1;0;270
690;1;0;0;0;0;0;190
691;0;0;0;0;0;0;60
694;0;0;0;0;0;0;100
695;0;0;0;0;0;0;50
696;0;0;2;0;0;2;1960
697;1;0;0;0;0;0;410
698;0;0;1;0;0;0;250
699;2;0;5;0;0;0;230
700;0;0;0;0;0;0;220
701;0;0;0;0;1;1;200
704;0;0;0;0;0;0;70
705;0;0;0;0;0;0;70
706;0;0;0;0;2;0;230
707;3;0;2;0;1;0;260
708;7;0;0;0;0;0;230
709;0;0;1;0;0;0;250
710;1;0;2;0;0;0;370
711;1;0;0;0;1;0;230
712;0;0;0;0;0;0;90
713;0;0;2;0;1;0;50
714;0;0;0;0;0;0;100
715;0;0;0;0;0;1;140
716;1;0;0;0;0;0;40
719;0;0;1;0;0;0;120
720;0;0;0;0;0;0;30
721;2;0;4;0;0;1;590
722;1;0;0;0;0;0;400
723;0;0;0;0;0;0;90
724;0;0;0;0;0;0;390
725;0;0;0;0;0;0;60
726;1;0;1;0;0;0;170
727;1;0;0;0;1;0;400
728;1;0;0;0;0;2;150
729;1;0;2;0;0;0;490
730;6;0;4;0;0;0;480
731;1;1;0;0;0;0;40
732;0;0;0;0;0;0;310
733;2;0;0;0;0;0;270
734;0;0;0;0;0;0;150
735;1;0;0;0;0;1;100
736;0;0;0;0;0;0;100
739;1;0;0;0;0;0;290
740;1;1;3;0;0;0;600
741;2;0;0;0;3;0;650
742;0;0;0;0;0;0;140
743;2;1;1;0;0;0;410
744;4;0;0;1;0;0;1150
745;0;0;1;0;0;0;150
746;1;0;0;0;0;0;120
747;1;0;0;0;0;0;240
748;1;2;0;0;0;0;300
749;0;0;0;0;0;0;50
750;0;0;1;0;0;0;20
751;1;0;0;0;0;0;180
752;1;0;2;0;0;0;250
753;1;0;0;0;0;1;140
754;3;1;0;0;0;0;430
755;0;0;0;0;0;0;30
756;15;0;0;0;0;0;670
757;6;0;6;0;0;0;520
758;0;0;0;0;0;1;220
761;1;0;0;0;0;0;70
762;0;0;1;0;0;0;90
763;1;3;1;0;0;0;590
764;0;0;0;0;0;0;80
765;0;0;0;0;0;0;80
766;0;0;0;0;0;0;130
767;0;0;0;0;0;0;40
768;1;0;0;0;0;2;300
769;1;0;0;0;0;0;120
770;4;0;0;0;0;0;280
771;1;0;0;0;0;0;60
772;0;0;0;0;0;1;100
