ID_author;sent_neg;sent_neu;sent_pos;sent_compound
280;117;797;86;-6033
281;0;10;0;0
282;46;831;123;8117
285;195;7,14E+15;9;-7447
286;7;93;0;-4854
287;208;728;64;-9864
288;189;71;101;-7841
289;125;785;8,90E+15;-9
290;195;7,07E+15;98;-9644
291;187;732;81;-5399
292;133;79;77;-8333
293;2;677;123;-8832
294;133;769;98;-8463
295;0;815;185;8243
296;222;66;118;-9952
297;1;795;105;2605
300;3,52E+16;614;34;-9377
301;73;7,88E+15;139;9727
302;91;794;115;6312
303;134;7,12E+15;154;3415
304;112;731;157;9952
305;5,20E+16;8,11E+15;138;9849
306;162;688;15;-609
307;0;6,99E+15;301;9465
308;157;7,02E+15;141;-627
309;0;92;8;6662
310;146;772;81;-996
311;93;877;3;-9157
312;196;6,89E+15;115;-9328
313;0;935;65;4039
314;201;518;28;3818
315;0;10;0;0
316;102;737;161;9872
317;0;10;0;0
318;61;833;106;6271
319;184;696;12;-9737
322;2,83E+16;68;3,60E+16;-9522
323;168;7,04E+15;128;-6814
324;205;721;7,40E+15;-969
325;141;833;26;-9764
326;6;762;1,78E+16;9931
327;73;8,69E+15;58;-4019
328;1,64E+16;7,29E+15;107;-3206
329;1,78E+16;708;114;-981
330;76;885;39;-4588
331;1,48E+16;797;55;-6941
332;101;66;239;9537
333;0;715;285;9935
334;48;846;107;9748
335;16;7,07E+15;133;-7,51E+15
336;44;8,49E+15;107;7564
337;103;763;134;6776
338;279;665;56;-9955
339;158;752;9;-8912
340;1,43E+16;7,49E+15;109;-928
341;122;733;145;6072
342;1,64E+16;7,83E+15;53;-9706
343;1,67E+16;754;79;-4007
344;132;8,37E+15;3;-9616
345;0;785;215;7418
346;91;7,49E+15;16;5574
347;3,46E+16;654;0;-5719
348;334;5,66E+15;99;-9367
349;93;847;61;-6394
350;71;8,44E+15;84;3916
351;163;7,49E+15;8,80E+15;-6664
352;23;87;108;9649
353;0;10;0;0
354;35;879;87;4497
355;162;72;118;-9275
356;163;8,14E+15;23;-9683
357;6;84;1;7346
358;158;789;53;-9822
359;205;7,83E+15;13;-9524
360;6;8,06E+15;134;5067
361;174;733;92;-9746
362;112;8,29E+15;6;-9717
363;96;815;9;4784
364;123;748;129;8001
